"","numDF","denDF","F.value","p.value"
"(Intercept)",1,633,3745.96137544985,0
"SPEI_12_Sept",1,633,16.4799090036247,5.53276894861288e-05
"treatment",1,20,5.47832891208016,0.0297296480912468
"Depth2",1,20,18.4964481391281,0.000348254052254582
"I(SPEI_12_Sept^2)",1,633,21.5675115439788,4.15597544456414e-06
"SPEI_12_Sept:treatment",1,633,11.0331706015922,0.00094645262851567
"SPEI_12_Sept:Depth2",1,633,0.877262940033937,0.349309632114408
"treatment:Depth2",1,20,6.22786430568902,0.0214353375867946
"treatment:I(SPEI_12_Sept^2)",1,633,0.0533150587959095,0.817466681491191
"Depth2:I(SPEI_12_Sept^2)",1,633,2.04553429341712,0.153146785208614
"SPEI_12_Sept:treatment:Depth2",1,633,2.72533393079556,0.0992634740291809
"treatment:Depth2:I(SPEI_12_Sept^2)",1,633,0.379684356213426,0.537993725827545
