,numDF,denDF,F.value,p.value
(Intercept),1,218,634.108717,0
SPEI_12_Sept,1,218,3.767870327,0.053535205
treatment,2,10,4.102493561,0.050008994
Depth2,1,10,10.94566412,0.007900325
I(SPEI_12_Sept^2),1,218,0.036368463,0.848934065
SPEI_12_Sept:treatment,2,218,1.223358812,0.296252075
SPEI_12_Sept:Depth2,1,218,0.826725776,0.36422515
treatment:Depth2,2,10,0.989074835,0.405556459
treatment:I(SPEI_12_Sept^2),2,218,0.922310856,0.399144955
Depth2:I(SPEI_12_Sept^2),1,218,2.478490001,0.11686313
SPEI_12_Sept:treatment:Depth2,2,218,0.661032752,0.517349615
treatment:Depth2:I(SPEI_12_Sept^2),2,218,0.718232869,0.488763332
